order,y_coordinate,x_coordinate,r,g,b,UK_colors,RU_colors
1,10,0,243,243,243,"['Silver', 'Gray', 'Beige', 'Silver', 'Silver', 'Silver', 'Gray', 'Gray', 'Gray', 'Gray', 'Silver', 'Silver', 'Silver', 'Gray', 'Silver', 'Silver', 'Gray', 'Silver', 'Gray']","['Белый', 'Белый', 'Бежевый', 'Серый', 'Белый', 'Белый', 'Белый', 'Бирюзовый', 'Белый', 'Серый', 'Серый']"
2,9,0,229,229,229,"['Silver', 'Silver', 'Silver', 'Gray', 'Gray', 'Silver', 'Gray', 'Purple', 'Gray', 'Gray', 'Silver', 'Silver', 'Gray', 'Gray', 'Gray', 'Beige', 'Blue', 'Gray', 'Gray']","['Белый', 'Серый', 'Белый', 'Белый', 'Серый', 'Белый', 'Белый', 'Белый', 'Лиловый', 'Белый', 'Серый', 'Белый', 'Голубой']"
3,9,1,242,226,225,"['Pink', 'Beige', 'Silver', 'Beige', 'Pink', 'Silver', 'Beige', 'Beige', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Gray', 'Pink', 'Pink', 'Gray', 'Gray']","['Серый', 'Зеленый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый', 'Серый', 'Розовый', 'Розовый', 'Бежевый', 'Розовый']"
4,9,2,243,226,223,"['Beige', 'Pink', 'Pink', 'Pink', 'Silver', 'Gray', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Silver', 'Pink', 'Pink']","['Лиловый', 'Бежевый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Фиолетовый']"
5,9,3,244,226,221,"['Beige', 'Pink', 'Pink', 'Silver', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Brown', 'Pink', 'Orange', 'Pink', 'Silver']","['Бежевый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Белый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
6,9,4,245,226,219,"['Gray', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink']","['Белый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Розовый', 'Розовый', 'Розовый', 'Бирюзовый', 'Розовый', 'Розовый', 'Лиловый']"
7,9,5,246,226,215,"['Silver', 'Beige', 'Beige', 'Pink', 'Beige', 'Pink', 'Beige', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink', 'Orange', 'Pink', 'Beige', 'Gold', 'Beige', 'Pink', 'Beige']","['Лиловый', 'Бежевый', 'Розовый', 'Серый', 'Желтый', 'Розовый', 'Розовый', 'Бежевый', 'Розовый', 'Белый', 'Розовый']"
8,9,6,246,226,210,"['Gray', 'Pink', 'Beige', 'Beige', 'Pink', 'Beige', 'Beige', 'Beige', 'Beige', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Beige', 'Beige', 'Beige']","['Бежевый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый', 'Бежевый', 'Бежевый', 'Бежевый', 'Розовый', 'Оранжевый', 'Бежевый', 'Бежевый']"
9,9,7,245,227,206,"['Beige', 'Pink', 'Beige', 'Beige', 'Beige', 'Yellow', 'Beige', 'Pink', 'Beige', 'Yellow', 'Beige', 'Pink', 'Pink', 'Silver', 'Beige', 'Beige', 'Beige', 'Beige', 'Silver', 'Beige']","['Бежевый', 'Бежевый', 'Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Бежевый', 'Бежевый', 'Фиолетовый', 'Бежевый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый']"
10,9,8,243,228,202,"['Beige', 'Pink', 'Beige', 'Beige', 'Yellow', 'Beige', 'Beige', 'Beige', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Gray', 'Gold', 'Gold', 'Beige', 'Gold', 'Pink']","['Бежевый', 'Желтый', 'Бежевый', 'Бежевый', 'Бежевый', 'Желтый', 'Бежевый', 'Бежевый', 'Бежевый', 'Бежевый', 'Розовый']"
11,9,9,250,228,172,"['Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Beige', 'Beige', 'Yellow', 'Beige', 'Beige', 'Beige', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Beige']","['Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Розовый', 'Желтый']"
12,9,10,249,230,142,"['Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Beige', 'Beige', 'Beige', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow']","['Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Бирюзовый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
13,9,11,243,232,140,"['Yellow', 'Yellow', 'Yellow', 'Yellow', 'Brown', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Beige', 'Beige', 'Beige', 'Yellow', 'Green', 'Yellow', 'Yellow', 'Green']","['Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Бежевый', 'Желтый', 'Желтый', 'Бирюзовый', 'Желтый', 'Желтый', 'Желтый']"
14,9,12,237,234,140,"['Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow']","['Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Бежевый', 'Бирюзовый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
